DFT Energy (eV), CHGNet Energy (eV)
-5.397419127142857,-5.397419127142857
-5.397668863333333,-5.397668863333333
-5.397859043571429,-5.397859043571429
-5.398133698095238,-5.398133698095238
-5.398257364761905,-5.398257364761905
-5.398391453571429,-5.398391453571429
-5.398531292857143,-5.398531292857143
-5.398524931190476,-5.398524931190476
-5.398479267619048,-5.398479267619048
-5.398638090714286,-5.398638090714286
-5.398830052142857,-5.398830052142857
-5.398972274285715,-5.398972274285715
-5.39918112,-5.39918112
-5.399391091428571,-5.399391091428571
-5.399560377380952,-5.399560377380952
-5.399696616666667,-5.399696616666667
-5.399758537142857,-5.399758537142857
-5.399996875714286,-5.399996875714286
-5.400161079285714,-5.400161079285714
-5.4003217135714285,-5.4003217135714285
-5.4003563169047615,-5.4003563169047615
-5.400417934047619,-5.400417934047619
-5.4003653640476195,-5.4003653640476195
-5.400386307142857,-5.400386307142857
-5.400440648333333,-5.400440648333333
-5.4005806128571425,-5.4005806128571425
-5.400725740952381,-5.400725740952381
-5.400944749761905,-5.400944749761905
-5.401199324285715,-5.401199324285715
-5.401438116904762,-5.401438116904762
-5.401650598809524,-5.401650598809524
-5.401856226904762,-5.401856226904762
-5.401987285952381,-5.401987285952381
-5.402151370714286,-5.402151370714286
-5.402355185952381,-5.402355185952381
-5.402610023809523,-5.402610023809523
-5.402947891428572,-5.402947891428572
-5.4030502871428565,-5.4030502871428565
-5.4031749019047615,-5.4031749019047615
-5.403406164285714,-5.403406164285714
-5.403674694285714,-5.403674694285714
-5.403941292619048,-5.403941292619048
-5.404267345952381,-5.404267345952381
-5.404540658571428,-5.404540658571428
-5.404623182619048,-5.404623182619048
-5.404649369047619,-5.404649369047619
-5.404566011904762,-5.404566011904762
-5.404486847857143,-5.404486847857143
-5.404302326428571,-5.404302326428571
-5.404060563571429,-5.404060563571429
-5.403781605714285,-5.403781605714285
-5.403508212380952,-5.403508212380952
-5.403118157619048,-5.403118157619048
-5.402842166666667,-5.402842166666667
-5.402543073571429,-5.402543073571429
-5.402325481190476,-5.402325481190476
-5.402203597619048,-5.402203597619048
-5.402002710952381,-5.402002710952381
-5.40180541404762,-5.40180541404762
-5.401601821190476,-5.401601821190476
-5.4014340645238095,-5.4014340645238095
-5.401435113095238,-5.401435113095238
-5.401493047380952,-5.401493047380952
-5.401561411904762,-5.401561411904762
-5.4016154938095235,-5.4016154938095235
-5.401533004047619,-5.401533004047619
-5.401600350952381,-5.401600350952381
-5.40157028952381,-5.40157028952381
-5.401578092619047,-5.401578092619047
-5.401671519523809,-5.401671519523809
-5.401671939761904,-5.401671939761904
-5.4016206873809525,-5.4016206873809525
-5.401503680952381,-5.401503680952381
-5.401344125,-5.401344125
-5.401000386428572,-5.401000386428572
-5.400743337142857,-5.400743337142857
-5.400604535714286,-5.400604535714286
-5.40059858047619,-5.40059858047619
-5.400832413809524,-5.400832413809524
-5.401118965952381,-5.401118965952381
-5.401281468809524,-5.401281468809524
-5.401398051428571,-5.401398051428571
-5.401556828333334,-5.401556828333334
-5.401793239285714,-5.401793239285714
-5.401957312619048,-5.401957312619048
-5.401964004761905,-5.401964004761905
-5.401956110714286,-5.401956110714286
-5.40205533952381,-5.40205533952381
-5.402101053809524,-5.402101053809524
-5.402194811666667,-5.402194811666667
-5.40245034,-5.40245034
-5.402716054761905,-5.402716054761905
-5.402805813571429,-5.402805813571429
-5.4027922509523805,-5.4027922509523805
-5.40283457547619,-5.40283457547619
-5.402910909285715,-5.402910909285715
-5.402952002380952,-5.402952002380952
-5.403080990714286,-5.403080990714286
-5.403114322142857,-5.403114322142857
-5.403171443809524,-5.403171443809524
-5.403286747380952,-5.403286747380952
-5.403591068809524,-5.403591068809524
-5.4038034800000005,-5.4038034800000005
-5.403955587380953,-5.403955587380953
-5.404120196666667,-5.404120196666667
-5.404247007142858,-5.404247007142858
-5.404306334047619,-5.404306334047619
-5.4044428911904765,-5.4044428911904765
-5.404741723333333,-5.404741723333333
-5.405100540952381,-5.405100540952381
-5.405574276428571,-5.405574276428571
-5.406043358333333,-5.406043358333333
-5.406385374047619,-5.406385374047619
-5.40661202452381,-5.40661202452381
-5.406947154047619,-5.406947154047619
-5.407187147857143,-5.407187147857143
-5.407458637380953,-5.407458637380953
-5.407662454761905,-5.407662454761905
-5.407839293095238,-5.407839293095238
-5.407923813333333,-5.407923813333333
-5.408017113095238,-5.408017113095238
-5.407997187619047,-5.407997187619047
-5.407745980952381,-5.407745980952381
-5.407421635714286,-5.407421635714286
-5.4070384238095235,-5.4070384238095235
-5.406685744523809,-5.406685744523809
-5.406284243809524,-5.406284243809524
-5.40586269547619,-5.40586269547619
-5.405634652857143,-5.405634652857143
-5.4052714066666665,-5.4052714066666665
-5.404945661190476,-5.404945661190476
-5.4047134678571425,-5.4047134678571425
-5.404488066428572,-5.404488066428572
-5.4043147933333335,-5.4043147933333335
-5.404114726666667,-5.404114726666667
-5.404085617857143,-5.404085617857143
-5.403900423333333,-5.403900423333333
-5.4036773757142855,-5.4036773757142855
-5.403421630238095,-5.403421630238095
-5.403183278571428,-5.403183278571428
-5.4028585838095236,-5.4028585838095236
-5.402404854285714,-5.402404854285714
-5.40195712047619,-5.40195712047619
-5.401463136428571,-5.401463136428571
-5.400968178809524,-5.400968178809524
-5.400534713809524,-5.400534713809524
-5.40021501547619,-5.40021501547619
-5.399976964523809,-5.399976964523809
-5.399753421190476,-5.399753421190476
-5.39951636547619,-5.39951636547619
-5.399297703809524,-5.399297703809524
-5.399293774285714,-5.399293774285714
-5.39943277,-5.39943277
-5.399465191666667,-5.399465191666667
-5.399569709761905,-5.399569709761905
-5.399605704523809,-5.399605704523809
-5.399734345238095,-5.399734345238095
-5.399827106904762,-5.399827106904762
-5.399857699761905,-5.399857699761905
-5.399752781428571,-5.399752781428571
-5.3997989735714285,-5.3997989735714285
-5.400002238571428,-5.400002238571428
-5.40030916,-5.40030916
-5.400516239523809,-5.400516239523809
